candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Leo Christopher Kenney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caevpcc5g,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caevpcc5g/filings/d_01kf4f3w4re01aq3f5swm4fbn0,,Campaign Finance,"November 06, 2024 - December 31, 2025","$2,980.00","$2,980.00",$0.00,$0.00,,,$0.00,"$2,980.00",$0.00,$0.00
Glenn Chip Curry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwxef8z7f,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwxef8z7f/filings/d_01ksq9aswxe8tvzcwqr1wyj6r8,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,"$2,203.46","$2,647.97",$0.00,$2.03,$446.54,$0.00,
Glenn Chip Curry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwxef8z7f,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwxef8z7f/filings/d_01kp0t83rtfzyv2t25h4x7vbzy,,Mcea Seed Money,"Unbounded - April 20, 2026","$2,940.00","$2,940.00",$0.00,"$2,937.97",,,$0.00,$2.03,$0.00,$0.00
Cheryl A Golek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803b1rxvvz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803b1rxvvz/filings/d_01ks131hxvffa89143k4cptv0y,,Mcea Campaign Finance,"April 28, 2026 - May 26, 2026",,,,,$665.09,$0.00,$9.91,$711.91,$0.00,
Cheryl A Golek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803b1rxvvz,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803b1rxvvz/filings/d_01kq89jrm3ev880yf0f96hrkj0,,Mcea Seed Money,"Unbounded - April 27, 2026",$700.00,$700.00,$0.00,$690.09,,,$0.00,$9.91,$0.00,$0.00
Sean Faircloth,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbr2qcmf0eanw6xm7q5zdhp,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbr2qcmf0eanw6xm7q5zdhp/filings/d_01ksqcnahfe7sa1ppr02vffn0d,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Sean Faircloth,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbr2qcmf0eanw6xm7q5zdhp,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbr2qcmf0eanw6xm7q5zdhp/filings/d_01kprbjpg2ehct46xjsxgany8m,,Mcea Seed Money,"Unbounded - April 21, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Pamela Hart,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9djw5feztamnr27bf24vqe,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9djw5feztamnr27bf24vqe/filings/d_01ks7tpdx7e05990s376z5vy62,,Mcea Campaign Finance,"May 22, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$609.37,
Pamela Hart,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9djw5feztamnr27bf24vqe,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9djw5feztamnr27bf24vqe/filings/d_01krksde38ftctavq36ca80nkb,,Mcea Seed Money,"Unbounded - May 21, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$609.37,$300.00
Patric Moore,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh539s4bfme84ypgj6b8a2e4,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh539s4bfme84ypgj6b8a2e4/filings/d_01kssqvsk7fxjtxt18y9yckjtn,,Mcea Campaign Finance,"May 17, 2026 - May 26, 2026",,,,$0.00,"$2,649.78",$0.00,$0.22,"$2,650.00",$0.00,
Patric Moore,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh539s4bfme84ypgj6b8a2e4,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh539s4bfme84ypgj6b8a2e4/filings/d_01kp74sz9dfqjt19j8kbmacc43,,Mcea Seed Money,"Unbounded - May 16, 2026","$2,736.00","$2,736.00",$0.00,"$2,735.78",,,$0.00,$0.22,$0.00,$1.00
Dr. Lucien Daigle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6bc8f0jc,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6bc8f0jc/filings/d_01ksstv7tee0brs4ggeqx447b1,,Mcea Campaign Finance,"April 24, 2026 - May 26, 2026",,,,$461.65,"$2,648.30",$0.00,$1.70,"$2,188.35",$0.00,
Dr. Lucien Daigle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6bc8f0jc,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6bc8f0jc/filings/d_01kpx9eb54ftrs7tbckyga9wjt,,Mcea Seed Money,"Unbounded - April 23, 2026","$2,400.00","$2,400.00",$0.00,"$2,398.30",,,$0.00,$1.70,$0.00,$0.00
Cassie L. Julia,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808v68x4xe,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808v68x4xe/filings/d_01ksp0934keq6vxr9bwpvemha9,,Mcea Campaign Finance,"April 29, 2026 - May 26, 2026",,,,$0.00,$646.45,$0.00,$28.55,$675.00,$0.00,
Cassie L. Julia,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808v68x4xe,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808v68x4xe/filings/d_01kq8m0nheectvxcnde379nyz1,,Mcea Seed Money,"Unbounded - April 28, 2026",$900.00,$900.00,$0.00,$871.45,,,$0.00,$28.55,$0.00,$0.00
Stephen Wood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7qjgq6fs88g8frphmy307k,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7qjgq6fs88g8frphmy307k/filings/d_01kstm3ywbezk8jqtdpsaj8p3b,,Campaign Finance,"January 01, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Zachary Lejonhud,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kke1dfp9ezptmkn927b42q5y,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kke1dfp9ezptmkn927b42q5y/filings/d_01ksteqaeze2t9fsg1mn76zsgc,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$666.75,$0.00,$8.25,$675.00,$0.00,
Zachary Lejonhud,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kke1dfp9ezptmkn927b42q5y,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kke1dfp9ezptmkn927b42q5y/filings/d_01ks3g37myex5snm16j20rn437,,Mcea Seed Money,"Unbounded - May 20, 2026",$951.00,$951.00,$0.00,$942.75,,,$0.00,$8.25,$0.00,$195.00
Woodleigh H Hughes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqqnqcm74,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqqnqcm74/filings/d_01ksjxxqgce148x8xx8w1rc3y1,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Woodleigh H Hughes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqqnqcm74,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqqnqcm74/filings/d_01kpnxmt9gfhzt2796tzds8dze,,Mcea Seed Money,"January 01, 2026 - April 20, 2026",$375.00,$375.00,$0.00,"$1,000.00",,,$625.00,$0.00,$0.00,$0.00
Woodleigh H Hughes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqqnqcm74,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqqnqcm74/filings/d_01kf4f3w4qe2jtscj4z8mesyw1,,Campaign Finance,"November 01, 2025 - December 31, 2025",$625.00,$625.00,$0.00,$0.00,,,$0.00,$625.00,$0.00,$0.00
James Sorcek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz77h3gr7,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz77h3gr7/filings/d_01ksqqr7ptfeybxad48nw35gjc,,Mcea Campaign Finance,"April 28, 2026 - May 26, 2026",,,,$588.03,$668.56,$0.00,$6.44,$86.97,$0.00,
James Sorcek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz77h3gr7,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zz77h3gr7/filings/d_01kq7nvx0re5avh65ngq06s1vn,,Mcea Seed Money,"Unbounded - April 27, 2026",$325.04,$305.00,$20.04,$298.56,,,$0.00,$6.44,$580.00,$0.00
Paul Welch,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khv2qkd5f7dtabfc81a4b496,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khv2qkd5f7dtabfc81a4b496/filings/d_01ksk0h684e3g9dphhqfkkknem,,Mcea Campaign Finance,"May 22, 2026 - May 26, 2026",,,,$0.00,$674.00,$0.00,$1.00,$675.00,$100.00,
Paul Welch,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khv2qkd5f7dtabfc81a4b496,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khv2qkd5f7dtabfc81a4b496/filings/d_01ks2mnb7je5xb103qj1m9a9s5,,Mcea Seed Money,"Unbounded - May 21, 2026",$860.00,$860.00,$0.00,$859.00,,,$0.00,$1.00,$100.00,$10.00
Joseph Almand,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84/filings/d_01ks81sq6sere9kgvyeepwsywh,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Joseph Almand,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84/filings/d_01ks395aqrefptvwq48j8hsste,,Mcea Seed Money,"Unbounded - May 19, 2026",$955.00,$955.00,$0.00,$955.00,,,$0.00,$0.00,$0.00,$0.00
Joseph Almand,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khyfnrn2fambsbemkrmyra84/filings/d_01kprpx4r3f2x9kvyepeayfykh,,Mcea Seed Money,"Unbounded - May 19, 2026",$955.00,$955.00,$0.00,"$1,005.00",,,$0.00,,$0.00,$0.00
Julia McCabe,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nszb5ezqb46skqzqjm7fy,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nszb5ezqb46skqzqjm7fy/filings/d_01ks6gdjaweg4t7gkhnx4akvb3,,Mcea Campaign Finance,"May 07, 2026 - May 26, 2026",,,,$673.91,$674.49,$0.00,$0.51,$1.09,$0.00,
Julia McCabe,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nszb5ezqb46skqzqjm7fy,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7nszb5ezqb46skqzqjm7fy/filings/d_01kqzwyx8kfc0tv00sk95j385b,,Mcea Seed Money,"Unbounded - May 06, 2026",$970.00,$970.00,$0.00,$969.49,,,$0.00,$0.51,$0.00,$0.00
Elizabeth D. Bosworth,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806vtshgkm,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806vtshgkm/filings/d_01ktkyny0xe2n8cd1ms9s68xd3,,Mcea Seed Money,"Unbounded - June 08, 2026","$2,865.00","$2,865.00",$0.00,"$3,700.50",,,$0.00,,$100.00,$0.00
Elizabeth D. Bosworth,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806vtshgkm,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806vtshgkm/filings/d_01kt7h4ttvfsraj9g2r3b6qchh,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$836.00,"$2,649.50",$0.00,,$25.00,$100.00,
Joseph Campbell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52tx5dfm78jf5m1az0wggp,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52tx5dfm78jf5m1az0wggp/filings/d_01ksqs7sq1egjs1chd5dqyhqk6,,Mcea Seed Money,"Unbounded - May 27, 2026","$1,000.00","$1,000.00",$0.00,$996.83,,,$0.00,$3.17,$0.00,$0.00
Eric Nathanson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khps5zhtendbww8c5n64qcxz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khps5zhtendbww8c5n64qcxz/filings/d_01ksmraa9beq3rmgqpzb1y8nng,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$653.58,$0.00,$21.42,$675.00,$0.00,
Eric Nathanson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khps5zhtendbww8c5n64qcxz,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khps5zhtendbww8c5n64qcxz/filings/d_01krx7kk8kf5s982dxetqv5bcq,,Mcea Seed Money,"Unbounded - May 20, 2026","$1,000.00","$1,000.00",$0.00,$978.58,,,$0.00,$21.42,$0.00,$0.00
Sophia Warren,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khnwqzkheg1rn44spkze48rd,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khnwqzkheg1rn44spkze48rd/filings/d_01kst38krpet29v3cahty72abs,,Mcea Campaign Finance,"April 08, 2026 - May 26, 2026",,,,"$11,658.70","$13,201.32",$0.00,$48.68,"$1,591.30",$0.00,
Sophia Warren,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khnwqzkheg1rn44spkze48rd,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khnwqzkheg1rn44spkze48rd/filings/d_01knkxa0wnf2ercg4rkgtprtav,,Mcea Seed Money,"Unbounded - April 07, 2026","$3,000.00","$3,000.00",$0.00,"$2,951.32",,,$0.00,$48.68,$0.00,$10.00
Lisa Pratt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3p5h7xfsgt6n1gn650cspf,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3p5h7xfsgt6n1gn650cspf/filings/d_01ksq9gv54eawsz082c44xp4ed,,Mcea Campaign Finance,"April 20, 2026 - May 26, 2026",,,,"$1,907.00","$3,324.86",$0.00,$0.14,"$1,418.01",$0.00,
Lisa Pratt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3p5h7xfsgt6n1gn650cspf,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km3p5h7xfsgt6n1gn650cspf/filings/d_01kpdvn563fmjtf7tp9mb99zat,,Mcea Seed Money,"Unbounded - April 19, 2026",$947.00,$947.00,$0.00,$946.86,,,$0.00,$0.14,$0.00,$0.00
Mark C. Cooper,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8vxx3aea,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8vxx3aea/filings/d_01ksv0ks2hfpetr1w6p671nkbp,,Mcea Campaign Finance,"April 29, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Mark C. Cooper,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8vxx3aea,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8vxx3aea/filings/d_01kqaa5vg3fcxs6c64ag50ae70,,Mcea Seed Money,"Unbounded - April 28, 2026",$690.00,$690.00,$0.00,$690.00,,,$0.00,$0.00,$0.00,$0.00
Parnell Terry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806fxq18bw,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806fxq18bw/filings/d_01ksthkdsnee89vd8dvz60s34g,,Mcea Campaign Finance,"April 29, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Parnell Terry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806fxq18bw,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806fxq18bw/filings/d_01kq94qezreb4b3t5arbch62wn,,Mcea Seed Money,"January 01, 2026 - April 28, 2026",$961.00,$961.00,$0.00,$961.00,,,$0.00,$0.00,$0.00,$11.00
Julie Nicole Rakic,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9m6jvq3g,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9m6jvq3g/filings/d_01ksmyac7je85rhbfxpcztxzan,,Mcea Campaign Finance,"April 29, 2026 - May 26, 2026",,,,$5.79,"$2,528.02",$0.00,$121.98,"$2,644.21",$0.00,
Julie Nicole Rakic,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9m6jvq3g,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9m6jvq3g/filings/d_01kqaj70tkezyb3rt0p4evwynt,,Mcea Seed Money,"Unbounded - April 28, 2026",$995.00,$995.00,$0.00,$873.02,,,$0.00,$121.98,$0.00,$0.00
Lynn Copeland,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mfdvyf58sxne2fwfn4wa2,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mfdvyf58sxne2fwfn4wa2/filings/d_01ksmxrg6kegybh2gwn22mh6ga,,Mcea Seed Money,"Unbounded - May 28, 2026",$977.51,$977.51,$0.00,$977.51,,,$0.00,$0.00,$105.49,$0.00
Lisa Kalp,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ngp4tfg09bt31pa7ectrs,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0ngp4tfg09bt31pa7ectrs/filings/d_01kstcv99kehga2w3qh3jwhrqj,,Campaign Finance,"January 01, 2026 - May 26, 2026",$2.00,$2.00,$0.00,$0.00,,,$0.00,$2.00,$0.00,$2.00
Douglas A. Thomas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk/filings/d_01kstyc0zqfe891nwmn4racd1s,,Mcea Campaign Finance,"April 08, 2026 - May 26, 2026",,,,$348.35,$675.00,$0.00,$0.00,$326.65,$0.00,
Douglas A. Thomas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk/filings/d_01knmjcgnjfxs856cw349fxb8a,,Mcea Seed Money,"January 01, 2026 - April 07, 2026",$0.00,$0.00,$0.00,"$1,000.00",,,"$1,000.00",$0.00,$0.00,$0.00
Douglas A. Thomas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qcss7qedk/filings/d_01kf4f3w4re01aq3f5wmk6eeyj,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$0.00,,,$0.00,"$1,000.00",$0.00,$0.00
Devan Arnold,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmr963pqesqrryyzjgg5yg4j,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmr963pqesqrryyzjgg5yg4j/filings/d_01kstd3w2wex8t8v0ct59k68eh,,Campaign Finance,"January 01, 2026 - May 26, 2026",$125.00,$125.00,$0.00,$0.00,,,$0.00,$125.00,$0.00,$25.00
Debora Farnham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfq1cmjf3b9m3rgheh7cqnh,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfq1cmjf3b9m3rgheh7cqnh/filings/d_01kst8xa14ea6sq7whjmeqc2wb,,Campaign Finance,"April 22, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Maureen AuCoin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvfbpdmfhkrtc2cnbvvhh7f,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvfbpdmfhkrtc2cnbvvhh7f/filings/d_01ksmcagzfe6trz5bfzr7d7exn,,Mcea Campaign Finance,"April 10, 2026 - May 26, 2026",,,,"$2,763.29","$3,321.40",$0.00,$3.60,$561.71,$0.00,
Maureen AuCoin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvfbpdmfhkrtc2cnbvvhh7f,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvfbpdmfhkrtc2cnbvvhh7f/filings/d_01knsj97raf4tst5cct8hpa826,,Mcea Seed Money,"Unbounded - April 09, 2026","$1,000.00","$1,000.00",$0.00,$996.40,,,$0.00,$3.60,$0.00,$0.00
Daniel Joseph Ankeles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd/filings/d_01ksrhzya9enebtwftyv0gry2t,,Mcea Campaign Finance,"April 19, 2026 - May 26, 2026",,,,$0.00,$650.88,$0.00,$24.12,$675.00,$0.00,
Daniel Joseph Ankeles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd/filings/d_01kphr9hh6ev0btr0xq61jcvgb,,Mcea Seed Money,"January 01, 2026 - April 18, 2026",$400.00,$400.00,$0.00,$975.88,,,$600.00,$24.12,$0.00,$400.00
Daniel Joseph Ankeles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd/filings/d_01kf4f3w4re01aq3f5kje3k03p,,Campaign Finance,"December 01, 2025 - December 31, 2025",$600.00,$600.00,$0.00,$0.00,,,$0.00,$600.00,$0.00,$600.00
Donna Bailey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qe088snh8,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qe088snh8/filings/d_01kstfbe8men5sa3c9rxba0ct8,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$0.00,"$2,481.46",$0.00,$168.54,"$2,650.00",$0.00,
Donna Bailey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qe088snh8,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qe088snh8/filings/d_01kp12ws1pe4zb49mpy9a9h6dp,,Mcea Seed Money,"Unbounded - April 21, 2026",$900.00,$900.00,$0.00,$731.46,,,$0.00,$168.54,$0.00,$0.00
Brian Ames,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth/filings/d_01ksg3ymwtfhmscd565ng59myw,,Mcea Campaign Finance,"April 27, 2026 - May 26, 2026",,,,$658.30,$674.76,$0.00,$0.24,$16.70,$0.00,
Brian Ames,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth/filings/d_01kqa5h7sqfc0t532fc9k7gsr7,,Mcea Seed Money,"Unbounded - April 26, 2026","$1,000.00","$1,000.00",$0.00,$999.76,,,$0.00,$0.24,$0.00,$0.00
Brian Ames,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth/filings/d_01knsbq4hdfm2sgd8dcv3cqc4y,,Mcea Seed Money,"Unbounded - April 26, 2026","$1,000.00","$1,000.00",$0.00,$907.24,,,$0.00,$92.76,$0.00,$0.00
